Time [ms],Temperature [C]
361698,26.42
361797,26.42
361899,26.42
361997,26.51
362100,26.51
362199,26.51
362301,26.51
362403,26.51
362501,26.51
362604,26.51
362702,26.51
362804,26.51
362903,26.51
363005,26.51
363107,26.51
363206,26.51
363308,26.51
363407,26.51
363509,26.51
363612,26.51
363710,26.51
363812,26.51
363911,26.51
364013,26.51
364112,26.51
364213,26.51
364316,26.51
364414,26.51
364516,26.51
364615,26.51
364717,26.51
364816,26.42
364918,26.51
365020,26.51
365119,26.51
365221,26.51
365320,26.51
365422,26.51
365520,26.51
