Iteration   Continuity  Energy  
353        0.0840104       0.102877
354        0.051657       0.0946137
355        0.0508627       0.0935073
356        0.0836196       0.104429
357        0.0540211       0.0955877
358        0.0615191       0.094914
359        0.0905473       0.114423
360        0.0540499       0.0950391
361        0.0908854       0.110152
362        0.0680319       0.0949001
363        0.0600165       0.0929817
364        0.054954       0.0954146
365        0.0922375       0.116927
366        0.0492851       0.090658
367        0.0577993       0.093855
368        0.0933322       0.116492
369        0.0726445       0.09314
370        0.0508491       0.092688
371        0.0865532       0.104901
372        0.051469       0.09482
373        0.0636626       0.0921682
374        0.0874638       0.108015
375        0.070759       0.0953446
376        0.0507303       0.0928731
377        0.083137       0.102078
378        0.0516737       0.0950745
379        0.0828145       0.0984783
380        0.067737       0.0896007
381        0.0504919       0.0933683
382        0.0506827       0.0936828
383        0.0499863       0.0921022
384        0.0700807       0.0912918
385        0.0516088       0.0941687
386        0.0699205       0.0928866
387        0.0591266       0.0895068
388        0.0606535       0.0925039
389        0.0547823       0.0932253
390        0.059549       0.0895176
391        0.0568194       0.0897135
392        0.0543925       0.0926076
393        0.0562731       0.0907457
394        0.0619167       0.0883047
395        0.0630247       0.0919892
396        0.0536005       0.0920645
397        0.0741873       0.0958593
398        0.0516493       0.0890721
399        0.0495016       0.0911834
400        0.0640487       0.0903591
401        0.0502147       0.0852551
402        0.0487707       0.090133
403        0.0488391       0.0903407
404        0.0475479       0.0876749
405        0.0722439       0.0889248
406        0.0785204       0.0952225
407        0.0484663       0.0892795
408        0.0466958       0.0856474
409        0.048186       0.0887057
410        0.0615952       0.0893182
411        0.0472435       0.0867308
412        0.0530896       0.0849392
413        0.052185       0.089062
414        0.0477138       0.0881188
415        0.0459914       0.084743
416        0.0473665       0.0872674
417        0.04813       0.0887067
418        0.047031       0.0860581
419        0.0575125       0.0832069
420        0.0472761       0.0868914
421        0.0681372       0.0864389
422        0.0458126       0.0831476
423        0.0467132       0.0851785
424        0.04743       0.0874328
425        0.0464398       0.0856451
426        0.0542308       0.0817196
427        0.046736       0.0859645
428        0.0656444       0.0860152
429        0.0452022       0.0832071
430        0.0449563       0.0827019
431        0.0592629       0.0854303
432        0.0457491       0.084392
433        0.0437137       0.080654
434        0.0504124       0.084439
435        0.0465507       0.0857398
436        0.0449949       0.0829229
437        0.067753       0.0858296
438        0.0463721       0.0844095
439        0.0452177       0.083216
440        0.0511836       0.0794085
441        0.0446632       0.0821874
442        0.0457571       0.0842414
443        0.0447042       0.0824879
444        0.0665988       0.0826418
445        0.0452086       0.0830493
446        0.0554467       0.0832223
447        0.0448581       0.0798557
448        0.0485845       0.080232
449        0.0540845       0.0822657
450        0.0514316       0.0813281
